ARK	title	subject	description	source	language	relation	coverage	creator	contributor	publisher	rights	date	type	format	identifier
ark:/12148/cb343375097		Mini-aventures				fre ; français			Maury, Marie-José (1931-....). Auteur du texte		Hemma (Chevron)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1992	texte imprimé ; printed text ; text	16 cm	http://catalogue.bnf.fr/ark:/12148/cb343375097
ark:/12148/cb343119591		Les Frères Stormy / Franklin W. Dixon		Collection : Bibliothèque verte		fre ; français			Dixon, Franklin W.. Auteur du texte		Hachette (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1988	texte imprimé ; printed text ; text	Couv. ill. en coul. ; 18 cm	http://catalogue.bnf.fr/ark:/12148/cb343119591
ark:/12148/cb343062202		La ferveur et l'épreuve / L. Fallon				fre ; français			Fallon, Léon (1918-1998). Auteur du texte		L. Fallon (Verdun)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1985-1996	texte imprimé ; printed text ; text	2 vol. ; 24 cm	http://catalogue.bnf.fr/ark:/12148/cb343062202
ark:/12148/cb34297020f		L'aventure européenne / Arthur Conte				fre ; français			Conte, Arthur (1920-2013). Auteur du texte		Plon (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1979	texte imprimé ; printed text ; text	2 vol. : couv. ill. en coul. ; 24 cm	http://catalogue.bnf.fr/ark:/12148/cb34297020f
ark:/12148/cb34314040v		Études bourouchaski		Collection : Asie et monde insulindien		fre ; français					Peeters (Paris) ; Selaf (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1989	texte imprimé ; printed text ; text	24 cm	http://catalogue.bnf.fr/ark:/12148/cb34314040v
ark:/12148/cb34346650x		Les dames de Clermont / Anne Courtillé		Collection : Pocket		fre ; français			Courtillé, Anne (1943-2015). Auteur du texte		Pocket (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1995	texte imprimé ; printed text ; text	18 cm	http://catalogue.bnf.fr/ark:/12148/cb34346650x
ark:/12148/cb343464809		Bleu pour les filles, rose pour les garçons		Collection : Artistes de l'École nationale supérieure des beaux-arts		fre ; français					ÉNSB-A (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1995	texte imprimé ; printed text ; text	35 cm	http://catalogue.bnf.fr/ark:/12148/cb343464809
ark:/12148/cb34295430c		Les prêtres de la Drôme, du Concordat à nos jours : liste établie au 31 décembre 1974... / abbé Adrien Loche,...				fre ; français			Loche, Adrien. Auteur du texte		A. Loche (Saint-Uze)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1976	texte imprimé ; printed text ; text	30 cm	http://catalogue.bnf.fr/ark:/12148/cb34295430c
ark:/12148/cb34336710r		L'esprit de famille / Janine Boissard		Collection : Cercle maxi-livres		fre ; français			Boissard, Janine (1932-....). Auteur du texte		Profrance-Maxilivres (Lyon)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1992	texte imprimé ; printed text ; text	Couv. ill. en coul. ; 23 cm	http://catalogue.bnf.fr/ark:/12148/cb34336710r
ark:/12148/cb34345460f		Aboitim / Baltique				fre ; français			Baltique. Auteur du texte		Hachette-Carrère (Paris) ; [puis] Éd. N°1 (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1996	texte imprimé ; printed text ; text	Couv. ill. en coul. ; 24 cm	http://catalogue.bnf.fr/ark:/12148/cb34345460f
ark:/12148/cb36594190z		Une enquête de Jenny Cain / Nancy Pickard		Collection : J'ai lu		fre ; français			Pickard, Nancy. Auteur du texte		Éd. J'ai lu (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1998	texte imprimé ; printed text ; text	18 cm	http://catalogue.bnf.fr/ark:/12148/cb36594190z
ark:/12148/cb371356705		Préparation aux tests de sélection sous-officier de gendarmerie et gendarmerie-adjoint				fre ; français					Éd. France enseignement (Carmaux)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2000	texte imprimé ; printed text ; text	Ill. ; 29 cm	http://catalogue.bnf.fr/ark:/12148/cb371356705
ark:/12148/cb37126110z		Zhonghua datongshu / Yan Xinming				chi ; chinois			Yan, Xin ming (1954-....). Auteur du texte		Xinyi chubanshe (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1997	texte imprimé ; printed text ; text	3 vol. ; 21 cm	http://catalogue.bnf.fr/ark:/12148/cb37126110z
ark:/12148/cb36946260f		PP IFR, révision / Ludovic André				fre ; français			André, Ludovic. Auteur du texte		Éd. SEES (Lognes)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1996	texte imprimé ; printed text ; text	Ill., couv. ill. en coul. ; 25 cm	http://catalogue.bnf.fr/ark:/12148/cb36946260f
ark:/12148/cb409564505		Nous, les dieux / Bernard Werber		Collection : Le livre de poche		fre ; français			Werber, Bernard (1961-....). Auteur du texte		Librairie générale française (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2006	texte imprimé ; printed text ; text	18 cm	http://catalogue.bnf.fr/ark:/12148/cb409564505
ark:/12148/cb402431208		Les trafiquants d'âmes / Jeffrey Lord		Collection : Blade		fre ; français			Lord, Jeffrey (1931-....). Auteur du texte		Vauvenargues (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2005	texte imprimé ; printed text ; text	18 cm	http://catalogue.bnf.fr/ark:/12148/cb402431208
ark:/12148/cb40938500z		Une enquête de Simon Serrailler / Susan Hill		Collection : Best-sellers		fre ; français			Hill, Susan (1942-....). Auteur du texte		R. Laffont (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2006	texte imprimé ; printed text ; text	24 cm	http://catalogue.bnf.fr/ark:/12148/cb40938500z
ark:/12148/cb42551090p		Oeuvres scientifiques / Laurent Schwartz		Collection : Documents mathématiques		fre ; français			Schwartz, Laurent (1915-2002). Auteur du texte		Société mathématique de France (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2011	texte imprimé ; printed text ; text	25 cm	http://catalogue.bnf.fr/ark:/12148/cb42551090p
ark:/12148/cb422437206		365 blagues pour les enfants à partir de 7 ans				fre ; français					Éd. Hemma (Chevron (Belgique)) ; [diff. Interforum] (Ivry-sur-Seine)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2009	texte imprimé ; printed text ; text	23 cm	http://catalogue.bnf.fr/ark:/12148/cb422437206
ark:/12148/cb343081417		Dirty comics / trad. de l'américain				fre ; français					Artefact (Enghien)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1985	texte imprimé ; printed text ; text	vol. : ill., couv. ill. ; 20 x 21 cm	http://catalogue.bnf.fr/ark:/12148/cb343081417
ark:/12148/cb399267317		Le chemin de fer de Beaucaire à Langogne / [publ. par l'] Association Les amis du vieil Alais				fre ; français				Amis du vieil Alais. Éditeur scientifique	[Terre cévenole] (Alès)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1989	texte imprimé ; printed text ; text	Ill., couv. ill. ; 21 cm	http://catalogue.bnf.fr/ark:/12148/cb399267317
ark:/12148/cb343431217		Dokumente zur deutschen Geschichte und Kultur		Collection : Publications de l'Institut d'allemand d'Asnières		ger ; allemand					Publications de l'Institut d'allemand (Asnières)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1994	texte imprimé ; printed text ; text	24 cm	http://catalogue.bnf.fr/ark:/12148/cb343431217
ark:/12148/cb371362213		Les 125 ans du groupe Delmas-Vieljeux, 1867-1991 / Charles Limonier				fre ; français			Limonier, Charles. Auteur du texte		Marines éd. (Nantes)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1999	texte imprimé ; printed text ; text	28 cm	http://catalogue.bnf.fr/ark:/12148/cb371362213
ark:/12148/cb37583271n		Impressions : projets, propositions de loi, rapports, avis, etc.. 2001-2002 / Sénat				fre ; français			France. Sénat (1958-....). Auteur du texte		Sénat (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2001	texte imprimé ; printed text ; text	24 cm et 30 cm	http://catalogue.bnf.fr/ark:/12148/cb37583271n
ark:/12148/cb37127481j		Au pays de Cluny / Nadine Roiné		Collection : Mémoire en images		fre ; français			Roiné, Nadine. Auteur du texte		A. Sutton (Joué-lès-Tours)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1998	texte imprimé ; printed text ; text	Ill., couv. ill. ; 24 cm	http://catalogue.bnf.fr/ark:/12148/cb37127481j
ark:/12148/cb37127391k		Les Aquanautes / scénario & dessins, Parnotte et Mallié				fre ; français			Parnotte, Joël (1973-....). Auteur du texte ; Mallié, Vincent (1973-....). Auteur du texte		Soleil (Toulon)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2000	texte imprimé ; printed text ; text	33 cm	http://catalogue.bnf.fr/ark:/12148/cb37127391k
ark:/12148/cb37582771s		Droit du travail et société / Jacques Le Goff				fre ; français			Le Goff, Jacques (1949-....). Auteur du texte		Presses universitaires de Rennes (Rennes)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2001	texte imprimé ; printed text ; text	24 cm	http://catalogue.bnf.fr/ark:/12148/cb37582771s
ark:/12148/cb37012841t		Documents écrits composés par Laurent D. Faure				fre ; français			Faure, Laurent (1973-....). Auteur du texte		Neuromedia international (Lyon)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1998	texte imprimé ; printed text ; text	2 vol. ; 30 cm	http://catalogue.bnf.fr/ark:/12148/cb37012841t
ark:/12148/cb34334471n		René Flapahoga / Carali				fre ; français			Carali (1945-....). Auteur du texte		Glénat (Grenoble)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1991	texte imprimé ; printed text ; text	Ill., couv. ill. en coul. ; 30 cm	http://catalogue.bnf.fr/ark:/12148/cb34334471n
ark:/12148/cb343381515		Bébé / [texte et ill. de Pascale Claude-Lafontaine]				fre ; français			Claude-Lafontaine, Pascale (1928-....). Auteur du texte		Milan (Toulouse)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1992	texte imprimé ; printed text ; text	21 cm	http://catalogue.bnf.fr/ark:/12148/cb343381515
ark:/12148/cb361334015		Earthdawn / [Greg Gorden, et al.]				fre ; français			Gorden, Greg. Auteur du texte		Jeux Descartes (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1996	texte imprimé ; printed text ; text	Formats divers	http://catalogue.bnf.fr/ark:/12148/cb361334015
ark:/12148/cb361331318		La trilogie des Sélénae / par Douglas Niles		Collection : Les royaumes oubliés		fre ; français			Niles, Douglas. Auteur du texte		Fleuve noir (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1997	texte imprimé ; printed text ; text	18 cm	http://catalogue.bnf.fr/ark:/12148/cb361331318
ark:/12148/cb36946411s		Jeux de mots : cahier d'exercices de Nounourse et ses amis / Marie de Maistre		Collection : Utovie jeunesse		fre ; français			Maistre, Marie de. Auteur du texte		Éd. d'Utovie (Bats)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1998	texte imprimé ; printed text ; text	23 cm	http://catalogue.bnf.fr/ark:/12148/cb36946411s
ark:/12148/cb34335381x		La peinture américaine		Collection : Skira-Flammarion		fre ; français					Skira (Genève) ; Flammarion (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1987	texte imprimé ; printed text ; text	28 cm	http://catalogue.bnf.fr/ark:/12148/cb34335381x
ark:/12148/cb34333971s		Stratégies et tactiques de négociation : connaissance du problème...applications pratiques : séminaire de Lionel Bellenger		Collection : Formation permanente en sciences humaines ; 83		fre ; français				Bellenger, Lionel (1947-....). Collaborateur	ESF (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1990	texte imprimé ; printed text ; text	25 cm	http://catalogue.bnf.fr/ark:/12148/cb34333971s
ark:/12148/cb34345681z		Récits de la vallée Piwi / Laura Allen		Collection : Collection Mistigri		fre ; français			Allen, Laura. Auteur du texte		Éd. les Chats noirs (Sophia Antipolis)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1996	texte imprimé ; printed text ; text	20 cm	http://catalogue.bnf.fr/ark:/12148/cb34345681z
ark:/12148/cb40166591v		Devil's cove / Ruth Langan				fre ; français			Langan, Ruth Ryan. Auteur du texte		Éd. Harlequin (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2006	texte imprimé ; printed text ; text	17 cm	http://catalogue.bnf.fr/ark:/12148/cb40166591v
ark:/12148/cb343133513		L'Entraîneur de rugby / Jean-Yves Nérin		Collection : Savoir-faire sportif		fre ; français			Nérin, Jean-Yves. Auteur du texte		Éd. Amphora (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1989	texte imprimé ; printed text ; text	22 cm	http://catalogue.bnf.fr/ark:/12148/cb343133513
ark:/12148/cb41010391s		L'espoir : vers une réforme de la franc-maçonnerie / Jacques Fontaine				fre ; français			Fontaine, Jacques (1942-.... ; essayiste). Auteur du texte		Éd. Detrad aVs (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2007	texte imprimé ; printed text ; text		http://catalogue.bnf.fr/ark:/12148/cb41010391s
ark:/12148/cb425853814		Vignettes françaises scoutes / Lucien Desmaretz		Collection : Collection des répertoires de "Scoutisme et collections"		fre ; français			Desmaretz, Lucien. Auteur du texte		Scoutisme et collections (Douai)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1988	texte imprimé ; printed text ; text	Ill. ; 21 cm	http://catalogue.bnf.fr/ark:/12148/cb425853814
